unmatched_ingredient,frequency,example,bls_candidate_1,bls_candidate_2,bls_candidate_3
paniermehl,18,2 EL Paniermehl,,Paniermehl glutenfrei,
salatgurke,18,200 g Salatgurke,"Kartoffelsalat mit Salatgurke und Mayonnaise, gestreckt mit Joghurt",,
salatgurke,18,200 g Salatgurke,,Kartoffelsalat mit Salatgurke und Marinade (Gemüsebrühe),
schmand,18,200 g Schmand,"Sauerrahm/Schmand, mind. 20 % Fett",,
schmand,18,200 g Schmand,,Schmand-Dip mit Schnittlauch,
schmand,18,200 g Schmand,,,Mandarinen-Schmand-Kuchen (Quark-Öl-Teig)
gnocchi,18,1000 g Gnocchi,Gnocchi roh,,
gnocchi,18,1000 g Gnocchi,,Gnocchi tiefgefroren,
gnocchi,18,1000 g Gnocchi,,,Gnocchi gekocht
lauch,17,50 g Lauch,Schnittlauch roh,,
lauch,17,50 g Lauch,,Schnittlauch getrocknet,
lauch,17,50 g Lauch,,,"Porree/Lauch, roh"
zitrone,17, Zitrone,"Eistee mit Zitronen-/Pfirsichgeschmack, gesüßt",,
zitrone,17, Zitrone,,Citronensäure/Zitronensäure (E 330),
zitrone,17, Zitrone,,,Zitronenlimonade
essig,16,80 g Essig,Apfelessig,,
essig,16,80 g Essig,,Essigsäure 60 % (E 260),
essig,16,80 g Essig,,,Weinessig
"garnelen, geschält",16,"400 g Garnelen, roh, geschält","Kartoffel geschält, roh",,
"garnelen, geschält",16,"400 g Garnelen, roh, geschält",,"Apfel geschält, roh",
"garnelen, geschält",16,"400 g Garnelen, roh, geschält",,,"Apfel geschält, getrocknet"
emmentaler,15,200 g Emmentaler,Emmentaler mind. 45 % Fett i. Tr.,,
emmentaler,15,200 g Emmentaler,,"Clubsandwich mit Thunfisch, Gurke, Emmentaler und Mayonnaise",
"koriander, gemahlen",15,"1 TL Koriander, gemahlen",Haselnuss gemahlen,,
"koriander, gemahlen",15,"1 TL Koriander, gemahlen",,"Mandel süß, gemahlen",
"koriander, gemahlen",15,"1 TL Koriander, gemahlen",,,Walnuss gemahlen
rote linsen,15,"250 g rote Linsen, getrocknet","Rote Rübe/Rote Bete, roh",,
rote linsen,15,"250 g rote Linsen, getrocknet",,Vegetarische Bratwurst (aus Tofu und Weizenprotein),
rote linsen,15,"250 g rote Linsen, getrocknet",,,Sojaproteinisolat
cheddar,15,150 g Cheddar,Chester (Cheddar) mind. 50 % Fett i. Tr.,,
cheddar,15,150 g Cheddar,,Chester (Cheddar) mind. 45 % Fett i. Tr.,
süßkartoffeln,15,1000 g Süßkartoffeln,Süßkartoffeln gedünstet (mit Fett und Salz),,
süßkartoffeln,15,1000 g Süßkartoffeln,,"Süßkartoffeln und Broccoli gedünstet, mit gekochtem Rindfleisch und Grundsauce hell/weiß",
